country_code,country,nickname,region_member_of,population,ethnicity,white,yellow,brown,black,male_name,female_name
DNK,Denmark,Denmark,Northern Europe,5000000,Denmark,97,1,1,1,Noah,Sofia
DJI,Djibouti,Djibouti,Eastern Africa,1000000,Djibouti,2,1,1,96,Manuel,Maria
DMA,Dominica,Dominica,Caribbean,70000,Dominica,33,1,33,33,Sebastian,Camila
DOM,Dominican Republic,Dominican Republic,Caribbean,10000000,Dominican Republic,16,1,72,11,Sebastian,Camila
ECU,Ecuador,Ecuador,South America,16000000,Ecuador,1,1,95,3,Santiago,Mariana
EGY,Egypt,Egypt,Northern Africa,97000000,Egypt,1,1,97,1,Mohamed,Shaimaa
SLV,El Salvador,El Salvador,Central America,6000000,El Salvador,9,1,89,1,Santiago,Ximena
GNQ,Equatorial Guinea,Equatorial Guinea,Middle Africa,1000000,Equatorial Guinea,1,1,1,97,Manuel,Maria
ERI,Eritrea,Eritrea,Eastern Africa,5000000,Eritrea,2,1,3,94,Manuel,Maria
EST,Estonia,Estonia,Northern Europe,1000000,Estonia,97,1,1,1,Rasmus,Sofia
ETH,Ethiopia,Ethiopia,Eastern Africa,104000000,Ethiopia,1,1,1,97,Manuel,Maria
FLK,Falkland Islands (Islas Malvinas),Falkland Islands,Eastern Europe,10000000,Czechia,97,1,1,1,Jakub,Tereza
FRO,Faroe Islands,Faroe Islands,Northern Europe,50000,Denmark,97,1,1,1,Benjamin,Eva
FJI,Fiji,Fiji,Melanesia,910000,Fiji,1,1,97,1,Aarav,Aadya
FIN,Finland,Finland,Northern Europe,5000000,Finland,97,1,1,1,Onni,Sofia
FRA,France,France,Western Europe,64000000,France,97,1,1,1,Gabriel,Louise
PYF,French Polynesia,French Polynesia,Polynesia,280000,Vanuatu,1,1,97,1,Maui,Tiare
GAB,Gabon,Gabon,Middle Africa,2000000,Gabon,1,1,1,97,Manuel,Maria
GMB,"Gambia, The",Gambia,Western Africa,2000000,Gambia,1,1,1,97,Mamadou,Fatoumata
GEO,Georgia,Georgia,Western Asia,3000000,Georgia,91,1,7,1,Giorgi,Mariami
DEU,Germany,Germany,Western Europe,82000000,Germany,94,1,4,1,Ben,Mia
GHA,Ghana,Ghana,Western Africa,28000000,Ghana,1,1,1,97,Mamadou,Fatoumata
GIB,Gibraltar,Gibraltar,Southern Europe,30000,Spain,97,1,1,1,Hugo,Lucia
GRC,Greece,Greece,Southern Europe,11000000,Greece,97,1,1,1,Georgios,Maria
GRL,Greenland,Greenland,Northern America,60000,Canada,68,2,28,2,Malik,Ivaana
GRD,Grenada,Grenada,Caribbean,110000,Grenada,1,1,17,81,Sebastian,Camila
GUM,Guam,Guam,Micronesia,160000,United States of America,70,4,13,13,Noah,Emma
GTM,Guatemala,Guatemala,Central America,16000000,Guatemala,1,1,97,1,Santiago,Ximena
GNB,Guinea-Bissau,Guinea-Bissau,Western Africa,1000000,Guinea-Bissau,1,1,1,97,Mamadou,Fatoumata
GIN,Guinea,Guinea,Western Africa,12000000,Guinea,1,1,1,97,Mamadou,Fatoumata
GUY,Guyana,Guyana,South America,780000,Guyana,2,2,60,36,Sebastian,Camila
HTI,Haiti,Haiti,Caribbean,10000000,Haiti,2,1,2,95,Stevenson,Widelene
HND,Honduras,Honduras,Central America,9000000,Honduras,1,1,96,2,Santiago,Ximena
HKG,Hong Kong,Hong Kong,Eastern Asia,7000000,China,1,97,1,1,Cheng,Li
